name,BOOM 2 Wireless Bluetooth Speaker - IndigoCPE,BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - BlackCPE,Bose® - Soundlink® Color Bluetooth Speaker II - Coral RedCPE,Boytone - 2500W 2.1-Ch. Home Theater System - Black DiamondCPE,Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - BlackCPE,Chant Mini Portable Bluetooth Wireless Speaker (Navy)CPE,Chant Sport BT Portable Audio System (Black)CPE,Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof SpeakerCPE,"DreamWave - Tremor Portable Bluetooth Speaker - Green,BlackCPE",ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange)CPE,ECOXGEAR ECOXBT Waterproof Bluetooth SpeakerCPE,"EcoJam Waterproof Bluetooth Speaker, BlackCPE",EcoXGear Ecostone Bluetooth SpeakerCPE,Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black)CPE,FUGOO - Sport XL Portable Bluetooth Speaker - Black/WhiteCPE,Get Up Stand Bluetooth Home Audio SystemCPE,HMDX Dynamite Portable Splashproof Wireless Speaker (Gray)CPE,Harman Kardon One Portable Bluetooth Speaker BlackCPE,House of MarleyCPE,JBL Clip2 Portable SpeakerCPE,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal)CPE,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon GreenCPE",New OEM Braven LUX Pearl Portable HD Wireless Bluetooth Speaker Power BankCPE,Outdoor Tech Buckshot Pro Bluetooth SpeakerCPE,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""CPE",SRS-XB10 Bluetooth Speaker (White)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Blue)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Red)CPE,SRS-XB40 Bluetooth Speaker (Black)CPE,SRS-XB40 Bluetooth Speaker (Blue)CPE,SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black)CPE,Sony - XB20 Portable Bluetooth Speaker - BlueCPE,Sony - XB7 Extra Bass Audio System with Bluetooth - BlackCPE,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal blackCPE,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black)CPE,Sony Ultra-Portable Bluetooth SpeakerCPE,Tough Portable Bluetooth Speaker (Black and Silver)CPE,h.ear go Wireless Speaker (Lime Yellow)CPE,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)CPE,iLive - ISBW216 Wireless Gnome Outdoor Speaker - MultiCPE,iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal)CPE
Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black),1.54,0.65,-0.26,-1.24,0.65,-1.05,-1.05,1.42,-1.05,-0.41,0.94,0.8,1.79,1.23,-1.79,-0.27,-0.27,-2.66,-1.0,-0.21,-3.68,-1.79,-0.17,0.28,-1.05,-1.4,-0.58,-0.66,1.92,0.5,-0.99,-0.3,0.33,-1.31,-0.57,-0.25,-2.86,-1.1,-0.18,-1.05,-1.87
FUGOO - Sport XL Portable Bluetooth Speaker - Black/White,-8.72,-1.17,-4.41,-4.96,-1.17,-4.56,-4.56,3.02,-4.56,-2.41,-2.01,-0.76,-0.09,-0.5,-10.51,-3.4,-3.4,-0.53,-2.97,-4.98,1.73,-10.51,-3.15,-0.34,-4.56,-7.01,0.79,-0.1,-5.53,-6.19,-3.98,-5.84,-8.87,0.59,-6.13,-1.92,2.01,0.91,-1.55,-4.56,-4.65
Get Up Stand Bluetooth Home Audio System,7.0,4.67,4.92,3.41,4.67,7.29,7.29,6.32,7.29,4.34,2.32,4.59,2.63,4.19,7.69,7.89,7.89,6.33,7.34,5.71,-1.6,7.69,6.48,4.16,7.29,6.75,3.6,0.35,5.78,5.01,1.5,5.08,7.85,2.75,4.92,2.99,2.35,2.26,7.94,7.29,1.96
HMDX Dynamite Portable Splashproof Wireless Speaker (Gray),0.13,0.58,0.27,0.31,0.58,0.08,0.08,-0.08,0.08,0.35,0.26,0.14,-0.07,0.09,0.05,0.02,0.02,0.11,0.05,0.18,0.53,0.05,0.19,0.21,0.08,0.09,0.25,0.32,0.13,0.21,0.26,-0.12,-0.28,0.49,0.31,0.39,0.24,0.47,-0.01,0.08,0.36
Harman Kardon One Portable Bluetooth Speaker Black,1.42,-0.41,0.24,1.13,-0.41,1.93,1.93,-5.59,1.93,-1.68,-3.79,-1.64,-1.35,-1.66,-3.17,0.09,0.09,-1.35,1.21,2.46,-6.73,-3.17,-0.33,-2.67,1.93,5.13,0.49,-1.39,1.44,-0.68,-0.69,3.92,1.88,-0.33,-0.61,-3.65,-0.47,-0.43,-0.83,1.93,-0.62
House of Marley,0.4,3.0,-3.09,-3.15,3.0,-4.45,-4.45,-2.63,-4.45,-0.83,1.63,1.27,0.34,1.05,-15.07,0.4,0.4,1.86,-3.67,-3.38,2.41,-15.07,-10.24,3.14,-4.45,-9.55,2.83,1.66,-2.3,-2.91,-3.55,-6.63,-15.01,8.89,-1.95,2.35,2.84,9.0,1.65,-4.45,-3.51
JBL Clip2 Portable Speaker,-0.33,0.07,-0.13,-0.48,0.07,-0.18,-0.18,-0.1,-0.18,-0.13,-0.05,-0.09,-0.16,-0.1,-0.44,-0.14,-0.14,-0.07,-0.17,-0.34,0.12,-0.44,-0.15,-0.06,-0.18,-0.27,-0.02,-0.03,-0.5,-0.26,-0.48,-0.51,-0.76,0.33,-0.17,-0.06,0.04,0.33,-0.12,-0.18,-0.5
JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),0.62,-0.85,-0.08,0.32,-0.85,0.91,0.91,0.64,0.91,-0.27,-0.51,0.24,1.06,0.34,0.85,0.81,0.81,0.89,1.4,0.44,-1.55,0.85,-0.27,0.01,0.91,0.66,-0.03,-0.39,0.64,0.3,0.3,1.49,5.18,-3.1,0.13,-0.74,0.46,-3.04,1.33,0.91,0.14
"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",1.9,-1.24,0.5,0.61,-1.24,1.16,1.16,2.03,1.16,0.99,0.12,0.95,1.97,1.08,2.8,0.95,0.95,0.74,1.34,0.9,-0.99,2.8,0.99,0.71,1.16,1.69,0.48,0.34,1.87,1.83,0.86,2.21,5.6,-2.89,0.6,0.35,0.02,-2.7,1.12,1.16,0.63
New OEM Braven LUX Pearl Portable HD Wireless Bluetooth Speaker Power Bank,-0.74,0.03,1.17,-0.41,0.03,-0.42,-0.42,-0.7,-0.42,-0.14,0.28,-0.19,1.07,1.3,-0.89,-0.17,-0.17,-0.3,-0.53,0.38,-0.2,-0.89,3.15,0.12,-0.42,1.66,-0.13,-0.51,-0.07,-0.17,1.95,2.65,-1.01,-1.34,-0.57,-0.21,-0.18,-1.38,-0.26,-0.42,-0.46
Outdoor Tech Buckshot Pro Bluetooth Speaker,0.51,-0.58,0.03,-0.23,-0.58,-0.13,-0.13,1.58,-0.13,2.94,3.09,0.15,0.61,0.25,1.11,0.06,0.06,-0.06,-0.23,-0.03,0.15,1.11,0.69,2.75,-0.13,-0.12,-0.22,0.13,0.03,0.08,0.18,0.05,-0.04,-0.38,-0.1,2.74,-0.23,-0.28,-0.03,-0.13,0.01
"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",-0.85,1.65,-0.33,-1.76,1.65,-0.44,-0.44,0.5,-0.44,1.41,1.16,0.29,-0.43,0.21,-1.16,0.13,0.13,-0.02,-1.39,-0.41,3.3,-1.16,0.73,0.68,-0.44,-1.24,1.73,1.05,-1.15,-0.65,-1.44,-1.71,-4.02,1.32,-0.68,1.51,1.94,1.26,-0.85,-0.44,-1.41
SRS-XB10 Bluetooth Speaker (White),-0.43,-0.37,-0.53,-1.36,-0.37,-1.5,-1.5,0.87,-1.5,-0.77,0.3,-0.68,-0.71,-0.67,-1.29,-0.64,-0.64,-1.07,-2.21,-1.09,0.52,-1.29,0.12,-0.63,-1.5,-1.58,-0.93,0.02,-1.59,-1.65,-1.17,-1.93,-8.47,3.78,-1.04,0.39,-1.14,3.92,-1.35,-1.5,-1.22
SRS-XB2 Portable Bluetooth Wireless Speaker (Blue),-1.48,3.29,-1.36,0.29,3.29,0.76,0.76,-4.75,0.76,1.66,0.14,2.28,-0.05,1.78,-5.89,0.76,0.76,2.17,2.18,0.07,0.13,-5.89,-5.16,3.19,0.76,-0.67,4.2,-0.45,2.37,2.63,-1.13,-0.07,7.84,-1.74,0.04,-0.45,3.27,-2.19,2.31,0.76,-0.53
SRS-XB2 Portable Bluetooth Wireless Speaker (Red),0.05,1.11,7.71,10.79,1.11,-0.07,-0.07,-0.35,-0.07,-0.02,8.21,0.1,-0.38,-0.03,-0.3,-0.14,-0.14,0.11,-0.09,1.92,14.11,-0.3,0.06,-0.27,-0.07,-0.27,0.42,11.61,-0.13,0.01,10.7,-0.64,-6.44,4.48,7.82,6.94,0.58,4.52,-0.19,-0.07,11.67
SRS-XB40 Bluetooth Speaker (Black),0.24,-0.02,0.11,-6.96,-0.02,0.18,0.18,0.07,0.18,0.19,0.06,0.12,0.14,0.12,0.46,0.12,0.12,0.09,0.2,-3.37,-0.05,0.46,0.11,0.11,0.18,0.28,0.1,0.04,-4.76,0.36,-6.99,-4.19,-2.24,1.56,0.16,0.07,-0.03,1.64,0.13,0.18,-7.45
SRS-XB40 Bluetooth Speaker (Blue),-4.83,2.52,0.45,8.18,2.52,-1.19,-1.19,-7.07,-1.19,1.23,-2.3,-2.99,-4.24,-2.73,-2.43,-4.76,-4.76,-3.15,-2.24,2.49,2.89,-2.43,0.34,-2.69,-1.19,2.49,-0.1,0.36,-1.39,-2.11,8.62,1.59,0.63,-3.45,0.08,-0.41,0.56,-3.92,-6.16,-1.19,9.0
SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black),-4.15,2.51,-2.37,-1.53,2.51,-1.25,-1.25,-2.22,-1.25,2.34,1.26,1.25,-2.05,0.12,-2.16,-1.27,-1.27,-0.56,-1.46,-2.62,3.57,-2.16,-2.83,2.1,-1.25,-3.06,3.3,0.81,0.76,2.04,-3.37,-3.96,-4.4,3.67,-1.16,1.2,-1.25,3.64,-1.47,-1.25,-1.74
Sony - XB20 Portable Bluetooth Speaker - Blue,1.69,-1.78,-0.12,-0.33,-1.78,0.97,0.97,1.78,0.97,-1.22,-0.13,-0.08,0.7,-0.08,1.86,1.15,1.15,0.13,0.33,0.69,-3.95,1.86,1.15,-0.76,0.97,2.93,-1.85,-1.86,0.73,0.17,-0.64,2.35,-0.61,-0.2,-0.48,-1.49,-0.82,0.02,0.47,0.97,-0.69
Sony - XB7 Extra Bass Audio System with Bluetooth - Black,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,-15.92,9.81,No Effect,No Effect,No Effect,10.2,No Effect,No Effect,No Effect
Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,1.35,-1.69,-0.32,-0.7,-1.69,0.34,0.34,1.74,0.34,-1.4,-4.72,-4.03,-3.37,-3.89,1.13,0.79,0.79,-0.24,-0.42,0.25,-3.35,1.13,0.93,-5.14,0.34,-2.73,-2.0,-1.69,-3.95,-5.45,-0.93,-2.15,-3.13,0.91,-0.77,-1.23,-1.03,1.15,-0.0,0.34,-0.97
Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),-3.54,-6.67,-5.42,-6.27,-6.67,-5.51,-5.51,-0.0,-5.51,-1.84,-1.88,-0.61,-0.61,-0.75,-1.9,-4.74,-4.74,-5.93,-6.56,-4.96,-0.46,-1.9,-3.45,-0.31,-5.51,-5.75,-1.51,-2.53,-2.03,-1.03,-5.86,-4.53,-10.61,3.53,-5.58,-1.49,-7.39,3.46,-5.81,-5.51,-6.02
Sony Ultra-Portable Bluetooth Speaker,0.19,-2.98,0.2,0.18,-2.98,0.26,0.26,1.07,0.26,-0.12,1.95,-0.35,1.13,0.05,0.92,0.48,0.48,-0.24,0.34,-0.16,-1.79,0.92,0.09,0.54,0.26,0.94,-1.35,-0.12,0.27,-0.21,0.52,1.95,1.93,-2.57,-0.15,0.2,-1.39,-2.32,0.58,0.26,-0.09
Tough Portable Bluetooth Speaker (Black and Silver),-0.33,-1.5,-0.45,-1.13,-1.5,0.78,0.78,1.55,0.78,-3.0,-1.88,-1.69,1.44,-1.18,3.42,0.68,0.68,-0.11,1.16,-0.94,-4.86,3.42,2.33,-2.56,0.78,-1.24,-2.38,-0.81,-1.3,-2.64,-1.04,1.34,0.64,-2.95,-0.88,-2.64,-3.99,-2.53,1.09,0.78,-1.89
h.ear go Wireless Speaker (Lime Yellow),-1.63,4.43,-2.43,-2.92,4.43,-0.62,-0.62,-2.93,-0.62,-2.9,0.3,0.62,-1.41,0.26,-2.07,-1.27,-1.27,0.47,0.16,-0.72,-6.76,-2.07,-1.2,0.48,-0.62,1.92,-4.79,-8.29,-0.34,0.63,-3.04,0.44,3.74,-0.03,-1.6,-5.08,2.34,-0.57,-0.48,-0.62,-2.66
iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),0.15,1.47,0.47,0.59,1.47,0.09,0.09,-0.49,0.09,0.95,0.65,0.49,-0.21,0.35,-0.37,0.0,0.0,0.27,0.08,0.32,1.3,-0.37,0.05,0.74,0.09,0.11,0.86,0.68,0.47,0.73,0.43,-0.37,-0.53,1.2,0.62,0.91,0.68,1.12,-0.03,0.09,0.68
iLive - ISBW216 Wireless Gnome Outdoor Speaker - Multi,0.55,-0.04,0.5,0.55,-0.04,0.55,0.55,0.21,0.55,0.24,-0.07,-0.02,0.11,-0.01,1.3,0.19,0.19,0.05,0.43,0.55,-0.23,1.3,0.91,-0.17,0.55,1.03,-0.07,0.13,0.42,0.4,0.51,0.76,1.05,-0.34,0.44,0.05,-0.11,-0.33,0.04,0.55,0.54
iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal),-4.51,-1.17,-3.34,-3.28,-1.17,-0.29,-0.29,-2.17,-0.29,0.08,-0.76,1.01,0.58,1.41,-4.14,0.35,0.35,0.87,0.66,-2.36,-2.4,-4.14,-3.22,1.52,-0.29,-0.93,2.44,-2.58,1.13,1.3,-3.21,1.04,6.3,-5.6,-3.21,-2.6,0.18,-5.52,1.42,-0.29,-4.2
